lead_id,customer_id,vehicle_id,enquiry_date,status,dealer_name,state,notes,created_at,enquiry_month,enquiry_year,enquiry_quarter
1,112,23,2024-02-08,Converted,Dubai Luxury Motors,Gujarat,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
2,125,19,2024-07-11,Converted,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
3,120,13,2024-09-15,Converted,London Premium Cars,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,9,2024,3
4,22,26,2024-04-07,On-Hold,Sydney Prestige Cars,Gujarat,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
5,7,10,2024-08-19,Converted,Bengaluru Wheels,West Bengal,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
6,75,16,2025-11-23,Converted,London Premium Cars,Telangana,Seed data lead v2,2026-07-10 09:27:06,11,2025,4
7,137,14,2025-07-12,Converted,Dubai Luxury Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
8,47,5,2024-08-16,In-Progress,London Premium Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
9,28,1,2024-02-29,Converted,Sydney Prestige Cars,Delhi,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
10,91,2,2025-03-29,Converted,Bengaluru Wheels,Karnataka,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
11,91,21,2025-06-13,In-Progress,Tokyo Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
12,130,2,2024-12-14,In-Progress,Sydney Prestige Cars,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
13,94,3,2025-05-13,New,Dubai Luxury Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
14,99,19,2025-12-24,Rejected,Tokyo Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
15,38,15,2026-03-18,Rejected,Mumbai Auto Hub,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
16,99,7,2025-07-16,Rejected,Mumbai Auto Hub,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
17,84,26,2026-03-24,In-Progress,New York Auto Group,Karnataka,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
18,75,11,2024-08-09,Converted,Singapore Car Centre,Telangana,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
19,141,26,2024-12-24,In-Progress,Chennai Auto Park,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
20,105,1,2025-08-27,On-Hold,London Premium Cars,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,8,2025,3
21,128,7,2024-10-11,Rejected,London Premium Cars,West Bengal,Seed data lead v2,2026-07-10 09:27:06,10,2024,4
22,2,10,2026-02-20,Rejected,Hyderabad Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
23,2,8,2025-09-22,Converted,Singapore Car Centre,West Bengal,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
24,135,4,2025-05-15,In-Progress,Bengaluru Wheels,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
25,36,11,2025-02-02,On-Hold,Tokyo Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
26,54,18,2024-08-31,New,Bengaluru Wheels,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,8,2024,3
27,77,19,2024-12-16,Rejected,Sydney Prestige Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,12,2024,4
28,89,1,2025-04-13,Converted,Delhi Car Palace,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2025,2
29,104,4,2024-11-07,On-Hold,London Premium Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
30,78,24,2025-05-09,Converted,London Premium Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
31,97,11,2024-02-15,Rejected,Pune Car World,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
32,124,2,2025-07-21,Rejected,New York Auto Group,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
33,126,23,2026-05-29,In-Progress,Pune Car World,Telangana,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
34,148,25,2025-06-15,Converted,Chennai Auto Park,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,6,2025,2
35,79,22,2026-03-10,Converted,Delhi Car Palace,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,3,2026,1
36,5,24,2025-09-09,Rejected,Hyderabad Motors,Gujarat,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
37,76,20,2025-05-29,On-Hold,Tokyo Motors,Gujarat,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
38,142,24,2026-04-29,Rejected,New York Auto Group,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
39,22,25,2025-03-06,Rejected,London Premium Cars,Gujarat,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
40,111,15,2025-12-23,Rejected,Delhi Car Palace,Gujarat,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
41,125,18,2025-05-05,Converted,Mumbai Auto Hub,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
42,160,17,2024-07-20,On-Hold,Mumbai Auto Hub,Abu Dhabi,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
43,161,24,2026-04-12,Rejected,Dubai Luxury Motors,Dubai,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
44,24,1,2025-07-31,Rejected,Bengaluru Wheels,West Bengal,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
45,59,13,2025-10-01,On-Hold,Chennai Auto Park,West Bengal,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
46,86,7,2025-03-15,Rejected,London Premium Cars,West Bengal,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
47,74,25,2024-02-20,On-Hold,Tokyo Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2024,1
48,8,5,2025-11-22,On-Hold,Hyderabad Motors,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,11,2025,4
49,126,13,2025-03-13,On-Hold,London Premium Cars,Telangana,Seed data lead v2,2026-07-10 09:27:06,3,2025,1
50,96,22,2026-02-25,Converted,Pune Car World,Telangana,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
51,93,1,2024-05-10,On-Hold,Sydney Prestige Cars,Delhi,Seed data lead v2,2026-07-10 09:27:06,5,2024,2
52,24,11,2024-03-15,New,Hyderabad Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,3,2024,1
53,65,21,2026-05-03,Converted,Dubai Luxury Motors,West Bengal,Seed data lead v2,2026-07-10 09:27:06,5,2026,2
54,82,23,2024-04-27,In-Progress,Mumbai Auto Hub,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,4,2024,2
55,74,26,2025-02-09,In-Progress,Tokyo Motors,Karnataka,Seed data lead v2,2026-07-10 09:27:06,2,2025,1
56,75,9,2024-11-24,Converted,London Premium Cars,Telangana,Seed data lead v2,2026-07-10 09:27:06,11,2024,4
57,155,25,2026-04-06,Converted,Tokyo Motors,Florida,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
58,58,11,2025-08-19,Converted,Mumbai Auto Hub,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,8,2025,3
59,104,20,2026-04-20,On-Hold,Dubai Luxury Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,4,2026,2
60,162,15,2025-07-19,New,Sydney Prestige Cars,Bavaria,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
61,142,12,2025-05-25,Rejected,New York Auto Group,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,5,2025,2
62,129,15,2025-12-16,Converted,Chennai Auto Park,West Bengal,Seed data lead v2,2026-07-10 09:27:06,12,2025,4
63,75,8,2025-01-15,On-Hold,Delhi Car Palace,Telangana,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
64,46,22,2025-10-14,In-Progress,Delhi Car Palace,Karnataka,Seed data lead v2,2026-07-10 09:27:06,10,2025,4
65,89,1,2025-08-13,Rejected,Tokyo Motors,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,8,2025,3
66,119,15,2025-01-29,Rejected,Chennai Auto Park,Karnataka,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
67,150,12,2024-06-06,Converted,London Premium Cars,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,6,2024,2
68,117,9,2024-07-09,New,Bengaluru Wheels,Tamil Nadu,Seed data lead v2,2026-07-10 09:27:06,7,2024,3
69,58,16,2024-01-08,Rejected,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,1,2024,1
70,144,7,2026-02-08,On-Hold,Singapore Car Centre,Uttar Pradesh,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
71,69,4,2025-07-24,Rejected,Pune Car World,West Bengal,Seed data lead v2,2026-07-10 09:27:06,7,2025,3
72,9,19,2024-05-06,In-Progress,Dubai Luxury Motors,Telangana,Seed data lead v2,2026-07-10 09:27:06,5,2024,2
73,12,16,2025-01-25,Converted,London Premium Cars,Telangana,Seed data lead v2,2026-07-10 09:27:06,1,2025,1
74,47,4,2026-02-22,New,Sydney Prestige Cars,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,2,2026,1
75,123,2,2025-09-01,On-Hold,Singapore Car Centre,Rajasthan,Seed data lead v2,2026-07-10 09:27:06,9,2025,3
76,38,3,2024-06-05,Converted,Bengaluru Wheels,Maharashtra,Seed data lead v2,2026-07-10 09:27:06,6,2024,2
