transaction_id,lead_id,customer_id,vehicle_id,transaction_date,final_price_inr,loan_amount,loan_tenure_months,interest_rate,emi_amount,payment_mode,created_at,tx_month,tx_year,tx_quarter,is_loan
1,1,112,23,2024-02-11,57943925.0,43457944.0,84,9.24,704503.0,Loan,2026-07-10 09:27:06,2,2024,1,1
2,2,125,19,2024-07-17,8317757.0,6654206.0,48,8.76,164832.92,Loan,2026-07-10 09:27:06,7,2024,3,1
3,3,120,13,2024-09-30,2299000.0,1724250.0,84,13.37,31715.37,Loan,2026-07-10 09:27:06,9,2024,3,1
4,5,7,10,2024-09-17,2350000.0,2115000.0,84,13.23,38740.96,Loan,2026-07-10 09:27:06,9,2024,3,1
5,6,75,16,2025-12-08,5500000.0,4675000.0,24,7.78,210968.82,Loan,2026-07-10 09:27:06,12,2025,4,1
6,7,137,14,2025-07-25,1150000.0,828000.0,48,10.77,21307.73,Loan,2026-07-10 09:27:06,7,2025,3,1
7,9,28,1,2024-03-24,350000.0,301000.0,24,13.81,14424.88,Loan,2026-07-10 09:27:06,3,2024,1,1
8,10,91,2,2025-04-03,850000.0,603500.0,72,13.14,12159.36,Loan,2026-07-10 09:27:06,4,2025,2,1
9,18,75,11,2024-09-04,1800000.0,1494000.0,84,10.22,24972.33,Loan,2026-07-10 09:27:06,9,2024,3,1
10,23,2,8,2025-10-01,1650000.0,1171500.0,72,11.22,22430.65,Loan,2026-07-10 09:27:06,10,2025,4,1
11,28,89,1,2025-04-16,350000.0,283500.0,60,9.39,5938.8,Loan,2026-07-10 09:27:06,4,2025,2,1
12,30,78,24,2025-05-18,59084112.0,44903925.0,84,9.64,737132.38,Loan,2026-07-10 09:27:06,5,2025,2,1
13,34,148,25,2025-06-29,24957944.0,,,,,Full Cash,2026-07-10 09:27:06,6,2025,2,0
14,35,79,22,2026-04-08,299065421.0,,,,,Full Cash,2026-07-10 09:27:06,4,2026,2,0
15,41,125,18,2025-05-17,6074766.0,4434579.0,24,13.66,212205.33,Loan,2026-07-10 09:27:06,5,2025,2,1
16,50,96,22,2026-03-08,299065421.0,,,,,Full Cash,2026-07-10 09:27:06,3,2026,1,0
17,53,65,21,2026-06-01,6136449.0,5461439.0,36,9.72,175508.2,Loan,2026-07-10 09:27:06,6,2026,2,1
18,56,75,9,2024-12-16,1900000.0,,,,,Full Cash,2026-07-10 09:27:06,12,2024,4,0
19,57,155,25,2026-05-04,24957944.0,21713411.0,36,10.93,710149.65,Loan,2026-07-10 09:27:06,5,2026,2,1
20,58,58,11,2025-08-22,1800000.0,1548000.0,24,13.88,74236.22,Loan,2026-07-10 09:27:06,8,2025,3,1
21,62,129,15,2026-01-05,1950000.0,1657500.0,72,7.7,28819.15,Loan,2026-07-10 09:27:06,1,2026,1,1
22,67,150,12,2024-06-14,1950000.0,,,,,Full Cash,2026-07-10 09:27:06,6,2024,2,0
23,73,12,16,2025-02-07,5500000.0,4400000.0,72,13.28,88977.63,Loan,2026-07-10 09:27:06,2,2025,1,1
24,76,38,3,2024-06-21,1050000.0,766500.0,48,10.5,19624.99,Loan,2026-07-10 09:27:06,6,2024,2,1
25,81,26,25,2024-08-06,24957944.0,,,,,Lease,2026-07-10 09:27:06,8,2024,3,0
26,82,123,1,2025-04-22,350000.0,252000.0,84,8.69,4014.91,Loan,2026-07-10 09:27:06,4,2025,2,1
